2011-05-22 21:31:47 Debug: Notice (8): Undefined property: Referencia::$Pai in [C:\xampp\htdocs\celuworld\cms\controllers\referencias_controller.php, line 29]
2011-05-22 21:42:45 Debug: Notice (8): Undefined property: Precio::$Referencium in [C:\xampp\htdocs\celuworld\cms\controllers\precios_controller.php, line 30]
2011-05-22 21:42:53 Debug: Notice (8): Undefined property: Precio::$Referencium in [C:\xampp\htdocs\celuworld\cms\controllers\precios_controller.php, line 30]
2011-05-22 22:08:00 Debug: Notice (8): Undefined variable: ListaMarcas in [C:\xampp\htdocs\celuworld\cms\views\celulares\add.ctp, line 24]
2011-05-22 22:13:21 Debug: Notice (8): Undefined variable: Marcas in [C:\xampp\htdocs\celuworld\cms\views\celulares\add.ctp, line 24]
2011-05-22 22:41:47 Debug: Notice (8): Undefined property: Celular::$Especificaion in [C:\xampp\htdocs\celuworld\cms\controllers\celulares_controller.php, line 72]
2011-05-23 01:22:42 Debug: Notice (8): Undefined variable: imagen in [C:\xampp\htdocs\celuworld\cms\views\celulares\view.ctp, line 185]
2011-05-23 01:22:48 Debug: Notice (8): Undefined variable: imagen in [C:\xampp\htdocs\celuworld\cms\views\celulares\view.ctp, line 185]
2011-05-23 01:23:35 Debug: Notice (8): Undefined index: Foto in [C:\xampp\htdocs\celuworld\cms\views\celulares\view.ctp, line 185]
2011-05-23 01:23:35 Debug: Notice (8): Undefined index: Foto in [C:\xampp\htdocs\celuworld\cms\views\celulares\view.ctp, line 186]
2011-05-23 01:24:42 Debug: Notice (8): Undefined variable: cel in [C:\xampp\htdocs\celuworld\cms\controllers\fotos_controller.php, line 99]
2011-05-23 01:24:42 Debug: Notice (8): Undefined variable: cel in [C:\xampp\htdocs\celuworld\cms\controllers\fotos_controller.php, line 101]
2011-05-23 02:58:54 Debug: Notice (8): Undefined index: modelo in [C:\xampp\htdocs\celuworld\cms\views\especificaciones\edit.ctp, line 4]
2011-05-23 02:59:24 Debug: Notice (8): Undefined index: modelo in [C:\xampp\htdocs\celuworld\cms\views\especificaciones\edit.ctp, line 5]
2011-05-23 21:39:30 Debug: Notice (8): Undefined variable: mar in [C:\xampp\htdocs\celuworld\cms\views\celulares\add.ctp, line 24]
2011-05-23 22:00:12 Debug: Notice (8): Undefined variable: ajax in [C:\xampp\htdocs\celuworld\cms\views\precios\add.ctp, line 41]
2011-05-23 22:53:23 Debug: Notice (8): Undefined property: Precio::$Referencium in [C:\xampp\htdocs\celuworld\cms\controllers\precios_controller.php, line 59]
2011-05-23 22:53:30 Debug: Notice (8): Undefined property: Precio::$Referencium in [C:\xampp\htdocs\celuworld\cms\controllers\precios_controller.php, line 59]
2011-05-23 22:53:41 Debug: Notice (8): Undefined property: Precio::$Referencium in [C:\xampp\htdocs\celuworld\cms\controllers\precios_controller.php, line 59]
2011-05-23 22:55:42 Debug: Notice (8): Undefined variable: cel in [C:\xampp\htdocs\celuworld\cms\views\precios\edit.ctp, line 25]
2011-05-23 22:55:42 Debug: Notice (8): Undefined variable: Paises in [C:\xampp\htdocs\celuworld\cms\views\precios\edit.ctp, line 28]
2011-05-23 22:56:24 Debug: Notice (8): Undefined variable: cel in [C:\xampp\htdocs\celuworld\cms\views\precios\edit.ctp, line 25]
2011-05-23 22:56:24 Debug: Notice (8): Undefined variable: Paises in [C:\xampp\htdocs\celuworld\cms\views\precios\edit.ctp, line 28]
2011-05-23 22:56:31 Debug: Notice (8): Undefined variable: cel in [C:\xampp\htdocs\celuworld\cms\views\precios\edit.ctp, line 25]
2011-05-23 22:56:31 Debug: Notice (8): Undefined variable: Paises in [C:\xampp\htdocs\celuworld\cms\views\precios\edit.ctp, line 28]
2011-06-24 23:19:02 Debug: Notice (8): Undefined variable: celularesList in [C:\xampp\htdocs\celuworld\cms\views\referencias\view.ctp, line 58]
2011-06-24 23:19:14 Debug: Notice (8): Undefined variable: celularesList in [C:\xampp\htdocs\celuworld\cms\views\referencias\view.ctp, line 58]
