2011-07-22 03:08:40 Notice: Notice (8): Undefined property: ImagenHelper::$Html in [/home/talamanc/public_html/desarrollo/celuworld/app/views/helpers/imagen.php, line 16]
2011-07-23 23:34:02 Notice: Notice (8): Undefined variable: paises in [/home/talamanc/public_html/celuworld.com/app/views/elements/global/paisesLinks.ctp, line 3]
2011-07-24 00:48:49 Notice: Notice (8): Undefined variable: paises in [/home/talamanc/public_html/celuworld.com/app/views/elements/global/paisesLinks.ctp, line 3]
2011-07-24 00:48:49 Notice: Notice (8): Undefined variable: paises in [/home/talamanc/public_html/celuworld.com/app/views/elements/global/paisesLinks.ctp, line 3]
2011-07-24 00:48:49 Notice: Notice (8): Undefined variable: paises in [/home/talamanc/public_html/celuworld.com/app/views/elements/global/paisesLinks.ctp, line 3]
2011-07-24 00:49:30 Notice: Notice (8): Undefined variable: paises in [/home/talamanc/public_html/celuworld.com/app/views/elements/global/paisesLinks.ctp, line 3]
2011-07-24 00:49:30 Notice: Notice (8): Undefined variable: paises in [/home/talamanc/public_html/celuworld.com/app/views/elements/global/paisesLinks.ctp, line 3]
2011-07-24 00:51:22 Notice: Notice (8): Undefined variable: paises in [/home/talamanc/public_html/celuworld.com/app/views/elements/global/paisesLinks.ctp, line 3]
2011-07-24 00:51:22 Notice: Notice (8): Undefined variable: paises in [/home/talamanc/public_html/celuworld.com/app/views/elements/global/paisesLinks.ctp, line 3]
2011-07-24 00:52:18 Notice: Notice (8): Undefined variable: paises in [/home/talamanc/public_html/celuworld.com/app/views/elements/global/paisesLinks.ctp, line 3]
2011-07-24 00:52:20 Notice: Notice (8): Undefined variable: paises in [/home/talamanc/public_html/celuworld.com/app/views/elements/global/paisesLinks.ctp, line 3]
2011-07-24 00:52:21 Notice: Notice (8): Undefined variable: paises in [/home/talamanc/public_html/celuworld.com/app/views/elements/global/paisesLinks.ctp, line 3]
2011-07-24 00:53:24 Notice: Notice (8): Undefined variable: paises in [/home/talamanc/public_html/celuworld.com/app/views/elements/global/paisesLinks.ctp, line 3]
2011-07-24 00:53:25 Notice: Notice (8): Undefined variable: paises in [/home/talamanc/public_html/celuworld.com/app/views/elements/global/paisesLinks.ctp, line 3]
2011-07-24 00:56:47 Notice: Notice (8): Undefined variable: paises in [/home/talamanc/public_html/celuworld.com/app/views/elements/global/paisesLinks.ctp, line 3]
2011-07-24 01:03:16 Notice: Notice (8): Undefined variable: paises in [/home/talamanc/public_html/celuworld.com/app/views/elements/global/paisesLinks.ctp, line 3]
